id,name_CHN,start date,end date,subject type,alma mater
1165096,陳鐵新,1962 / 9,1969 / 8,,大連市國營五二三廠子弟小學、中學學生
1165096,陳鐵新,1969 / 8,1972 / 12,,遼陽市燈塔縣邵二臺鄉中學學生
1165096,陳鐵新,1978 / 3,1982 / 1,,瀋陽機電學院機械系鑄造專業學習
1165096,陳鐵新,1982 / 1,1982 / 5,,遼寧省委黨校第一期青年干部培訓班學員
1165096,陳鐵新,1991 / 9,1995 / 12,,在吉林大學世界經濟專業在職研究生學習，獲得經濟學博士學位
1141568,陳錫聯,1943 / 8,1945,未知,延安中共中央黨校學習
1141568,陳錫聯,1955,1957,軍事科學,解放軍事學院戰役系學習
1139155,陳錫文,1978,1982,經濟與管理,中國人民大學農業經濟系就讀
1139155,陳錫文,,1966,未知,上海初中
1138440,陳錦華,1946,1949 / 5,自然科學,上海第一印染廠藝徒訓練班學習
1138440,陳錦華,1949,1952,軍事科學,華東局保衛人員訓練班學習
1138440,陳錦華,1953,1955,經濟與管理,中國人民大學工業經濟函授專修科學習
1138440,陳錦華,1960,1962,社會科學與法律,中國人民大學政治經濟學專修班學習
1138440,陳錦華,1963,1965,人文科學,北京電視大學中文系學習
1144793,陳鋼,,,自然科學,清華大學固體力學專業畢業
1144439,陳鈍,,1951 / 8,自然科學,天津津沽大學機械工程學系畢業
1165330,陳鄂生,,1982,,西北輕工業學院製漿造紙專業
1141589,陳郁,1940 / 2,,,延安後入中共中央黨校學習
1141589,陳郁,1931 / 6,1940 / 2,未知,蘇聯列寧學院學習
1141122,陳邦柱,,1968 / 8,軍事科學,中國人民解放軍測繪學院天文大地測量專業
1141122,陳邦柱,1998 / 3,1998 / 5,未知,中央黨校進修班學習
1141927,陳邦柱,1952 / 6,1954 / 8,自然科學,重慶建築工程學院土木工程系建築施工專業學習
1138830,陳邦國,1962 / 9,1967 / 9,自然科學,清華大學冶金系畢業
1166705,陳達雲,,,,教育學博士
1166705,陳達雲,2005 / 6,,,赴英國參加教育部組織的教育管理研修班
1139996,陳達植,,,,中國人民解放軍軍事工程學院導彈總體及發動機專業
1140062,陳達恒,,,經濟與管理,中央黨校世界經濟專業在職研究生畢業學習
1142866,陳達,1929 / 2,,,在本村上私塾
1142866,陳達,1933 / 2,,,在本村初級小學讀書
1142866,陳達,1934 / 3,,,夏津縣城第一高級小學讀書
1142866,陳達,1936 / 3,1936 / 7,,在縣城玉堂實驗小學讀書
1142866,陳達,1936 / 8,1937 / 11,,臨清六縣聯立鄉村師範學校讀書
1142866,陳達,1938 / 5,,,進恩縣苗城八路軍政工幹校學習
1142866,陳達,1940 / 8,1940 / 11,,參加中共魯西區黨委訓練班學習
1142866,陳達,1944 / 1,,,入延安中央黨校一部學習
1142866,陳達,1948 / 5,1948 / 6,,參加中共中央東北局訓練班學習
1171563,陳進行,1977,1981,,南京工學院電力系統自動化專業大學本科學習
1171563,陳進行,,,,中央黨校2007年一年制中青年幹部培訓班學習
1139137,陳進玉,,1970,社會科學與法律,北京大學哲學系
1143729,陳述濤,1971,1973,自然科學,內蒙古紮蘭屯師範學校數學專業學習
1143729,陳述濤,1978,1981,自然科學,哈爾濱工業大學數學系碩士研究生
1143729,陳述濤,1994,1996,自然科學,美國依阿華大學數學係數學專業學習，獲數學博士學位
1143251,陳辭,1971 / 9,1975 / 2,,北京外國語學院英語系英語專業學習
1143251,陳辭,1983 / 12,1984 / 5,,美國弗吉尼亞州大學進修
1143251,陳辭,1998 / 9,1999 / 7,,中央黨校一年制中青年幹部培訓班學習
1143251,陳辭,1998 / 9,2001 / 7,,中央黨校研究生院國際政治專業學習
1138498,陳輝光,1982 / 9,1983 / 7,未知,中央黨校學習12
1138498,陳輝光,1958 / 9,1961 / 9,自然科學,江西煤礦學院採礦系採煤專業學習
1141094,陳超英,1978 / 3,1982 / 1,自然科學,哈爾濱工業大學本科畢業
1141094,陳超英,1986 / 6,1988 / 9,自然科學,比利時布魯塞爾自由大學學習並獲電腦專業碩士學位
1140462,陳超,1945,,,赤坎晨光中學
1138857,陳質楓,1980 / 10,1983 / 11,自然科學,天津大學工業管理工程系建築管理工程幹部專修科學習
1138857,陳質楓,1986 / 3,1986 / 7,未知,天津市委黨校中青年幹部培訓班學習
1138857,陳質楓,1988 / 9,1991 / 6,經濟與管理,吉林大學經濟管理系國民經濟計劃和管理專業在職學習，獲經濟學碩士學位
1138857,陳質楓,1996 / 9,1997 / 7,未知,中央黨校一年制中青年幹部培訓班學習
1141400,陳賡,1924 / 5,,社會科學與法律,黃埔陸軍軍官學校第一期學習
1141400,陳賡,1926,,未知,赴蘇聯學習
1141400,陳賡,1937 / 2,,軍事科學,抗日軍政大學學習
1144054,陳資全,,,經濟與管理,中央黨校經濟管理本科
1144054,陳資全,,,經濟與管理,中國社科院研究生院政治經濟學專業研究生
1144054,陳資全,1979 / 10,,社會科學與法律,中共青海省委黨校黨政管理專業大專學歷
1144054,陳資全,,,自然科學,自學考試中西醫大專學歷
1143799,陳豪,1980 / 2,1984 / 1,人文科學,靜安區業餘大學中文專業學習
1143799,陳豪,1989 / 5,1991 / 6,經濟與管理,華東師範大學世界經濟專業碩士研究生課程進修班學習
1143799,陳豪,1997 / 5,1997 / 6,,上海市委黨校第二十九期局級幹部進修班學習
1143799,陳豪,2001 / 3,2003 / 3,經濟與管理,中歐國際工商學院MBA學習
1139022,陳訓秋,1978 / 4,1981 / 1,未知,武漢師院咸寧分院中文專業學習
