id,name_CHN,name_PINYIN,sex,ethnicity,edu,studying_abroad,studying_abroad_country,birthdate,deathdate,ancestral hometown,professional title,date of starting to work,birthplace,party,date of joining the party,CYL,special relationships,notes
1141102,張海陽,Zhang Haiyang,男,漢族,大學本科,,,1949/7,,湖南 平江,上將,1969/2,,中國共產黨,1969/11,否,,"張震之子岳父是原南京軍區副政委孫克驥少將。其兄弟張小陽少將曾任解放軍外國語學院院長，現已退役。"1995年7月，少將軍銜。2003年7月，中將軍銜。2009年，上將軍銜。
1155330,張海迪,Zhang Haidi,女,漢族,研究生,學位,西歐,1955/9,,山東 威海市文登區,其他專業頭銜,1981/9,山東 濟南,中國共產黨,1982/12,,,中國著名殘疾作家1983/3被授予優秀共青團員
1140631,張海濤,Zhang Haitao,男,漢族,研究生,,,1951/9,,山東 榮成,,1968,,中國共產黨,,否,,
1157786,張海流,Zhang Hailiu,男,漢族,,,,,,山西,,,,中國共產黨,,正副處級,,
1140439,張海天,Zhang Haitian,男,漢族,,否,,1934/3,,,,,,中國共產黨,,否,,
1143958,張海國,Zhang Haiguo,男,漢族,研究生,,,1950/11,,海南 海口,,1973/11,,中國共產黨,1971/8,,,
1139226,張洽,Zhang Qia,男,漢族,大學本科,否,,1934/11,,台灣 台北,,,,非中國共產黨,,否,,"無黨派民主人士"
1140449,張洪飆,Zhang Hongbiao,男,,,,,1945,,,,,,中國共產黨,,否,,
1139239,張洪華,Zhang Honghua,男,漢族,,否,,1941/7,,江蘇 沛縣,,,,,,否,,
1139318,張洪祥,Zhang Hongxiang,男,漢族,大學本科,否,,1940/10,,湖北 棗陽,,,,中國共產黨,1965/7,否,,
1142283,張洪池,Zhang Hongchi,男,漢族,中學以下,,,1936/6,,江蘇 海門,,1956/2,,中國共產黨,1958/10,副局級以上,,
1144047,張津梁,Zhang Jinliang,男,漢族,研究生,,,1953/10,,河南 洛陽,,1969/10,,中國共產黨,1976/11,正副處級,,
1143602,張泗州,Zhang Sizhou,男,漢族,中學以下,,,1920/6,1980/7,四川 簡陽,,1958/10,,中國共產黨,1952/9,否,,曾用名張趺洲
1164375,張沁榮,Zhang Qinrong,女,漢族,大學本科,,,1956/7,,河南 沁陽,,1974/12,,中國共產黨,1978/12,,,
1141524,張池明,Zhang Chiming,男,漢族,中學以下,,,1917/7,1997/11,河南 新縣,中將,,,中國共產黨,1935,否,,原名張赤民，曾用名張家向
1142547,張江霖,Zhang Jianglin,男,漢族,大學專科,,,1917/2,1999/10,四川 達縣,,1933/7,,中國共產黨,1937/1,否,,原名張有職；大校軍銜
1145162,張江,Zhang jiang,男,漢族,,,,1956/8,,廣東 梅州,,,廣東 梅州,,,,,
1143342,張汝成,Zhang Rucheng,男,漢族,,,,1947/1,,廣東 潮陽,中將,,,中國共產黨,,否,,1964年12月入伍
1141828,張永義,Zhang Yongyi,男,漢族,研究生,,,1950/2,,遼寧 海城,中將,1966/8,遼寧 海城,中國共產黨,,否,,
1142993,張永勵,Zhang Yongli,男,漢族,中學以下,,,1909,2003/2,河南 焦作,,1931/12,,中國共產黨,1933,否,,第六屆全國政協委員。
1158176,張永,Zhang Yong,男,漢族,大學本科,,,1970/1,,安徽 蕭縣,,,安徽 蕭縣,中國共產黨,,正副處級,,
1163484,張民選,Zhang Minxuan,男,回族,研究生,,,1953/10,,江蘇省,研究員,1993,,中國共產黨,,,,
1138760,張毅,Zhang Yi,男,漢族,大學專科,否,,1950/8,,黑龍江 北安,政工師,1969/7,,中國共產黨,1972/2,否,,高級政工師
1154066,張欣欣,Chang Xinxin,男,漢族,,學位,西歐,1957/12,,,教授,1976/7,,中國共產黨,1982/2,,,
1142972,張次賓,Zhang Cibin,男,漢族,中學以下,,,1909/1,1992/2,山東 壽光,,1938/3,,中國共產黨,1938/6,否,,曾用名：張作明。濟南市第二、三屆人大代表。山東省第五屆人大常委，第四屆政協常委。
1139597,張樹魁,Zhang Shukui,男,漢族,大學本科,否,,,,,工程師,,,,1959,否,,
1142556,張樹芝,Zhang Shuzhi,男,漢族,中學以下,,,1915/4,2001/12,湖南 華容,少將,,,中國共產黨,1934/7,否,,
1138984,張樹田,Zhang Shutian,男,漢族,大學專科,,,1939/10,,河南 商丘,上將,1958,,中國共產黨,1959/12,否,,
1144069,張樂琴,Zhang Leqin,女,回族,大學本科,,,1954/4,,河南 洛寧,,1970/8,,中國共產黨,1984/10,否,,
1139390,張榮茂,Zhang Rongmao,男,漢族,研究生,否,,1937/2,,湖南桃源,,,,中國共產黨,1975/9,否,,
1144304,張榮久,Zhang Rongjiu,男,漢族,,,,1952/9,,河北任丘,工程師,1968/11,,中國共產黨,1986/7,否,,
1158852,張榮,Zhang Rong,男,漢族,研究生,,,1976/10,,四川 安居,,1996/07,,中國共產黨,1995/6,副局級以上,,
1167206,張榮,Zhang Rong,男,漢族,研究生,,,1964/2,,,,1986/8,,中國共產黨,1984/6,,,
1139398,張榕明,Zhang Rongming,女,漢族,大學本科,否,,1944/6,,浙江 寧波,工程師,,,非中國共產黨,,否,,"中國民主建國會"
1140214,張業遂,Zhang Yesui,男,漢族,大學本科,短期進修,西歐,1953/10,,湖北 天門市,,,,,,否,,1975—1976英國倫敦經濟學院學習
1143612,張植弟,Zhang Zhidi,男,漢族,中學以下,,,1930/10,1999/11,湖北 巴東,,1950/12,,中國共產黨,1958/11,,,"曾用名羅光弟為中共第十一屆中央候補委員"
1140078,張梅穎,Zhang Meiying,女,漢族,大學本科,,,1944/1,,四川 南充,其他專業頭銜,1962/8,,非中國共產黨,,否,,中國民主同盟成員
