Name_Pinyin,Name_CHN,URL
Gao Rui,高銳,http://cped.nccu.edu.tw/node/1155706
Gao Jintian,高金鈿,http://cped.nccu.edu.tw/node/1140445
Gao yun jia,高運甲,http://cped.nccu.edu.tw/node/1144690
Gao Xiqing,高西慶,http://cped.nccu.edu.tw/node/1139109
Gau Hucheng,高虎城,http://cped.nccu.edu.tw/node/1138584
Guo Xingmin,高興民,http://cped.nccu.edu.tw/node/1140373
Gao Zili,高自立,http://cped.nccu.edu.tw/node/1142715
Gao Xiang,高翔,http://cped.nccu.edu.tw/node/1140678
Gao Weisong,高維嵩,http://cped.nccu.edu.tw/node/1142082
Gao Hongwei,高紅衛,http://cped.nccu.edu.tw/node/1165817
Gao Siren,高祀仁,http://cped.nccu.edu.tw/node/1138848
Gao Lulin,高盧麟,http://cped.nccu.edu.tw/node/1140740
Gao Huan,高環,http://cped.nccu.edu.tw/node/1160353
Gao Huan,高環,http://cped.nccu.edu.tw/node/1142362
Gao Ruike,高瑞科,http://cped.nccu.edu.tw/node/1139322
Gao Yuze,高玉澤,http://cped.nccu.edu.tw/node/1142172
Gao Di,高狄,http://cped.nccu.edu.tw/node/1138416
Gao Yan,高燕,http://cped.nccu.edu.tw/node/1170607
Gao Huanchang,高煥昌,http://cped.nccu.edu.tw/node/1142078
Gao Shulan,高淑蘭,http://cped.nccu.edu.tw/node/1142081
Gao Jin,高津,http://cped.nccu.edu.tw/node/1147358
Gao Po,高波,http://cped.nccu.edu.tw/node/1159395
Gao　Yong　Wen,高永文,http://cped.nccu.edu.tw/node/1153112
Gao Diancheng,高殿成,http://cped.nccu.edu.tw/node/1139418
Gao Wusheng,高武生,http://cped.nccu.edu.tw/node/1141197
Gao Shuchun,高樹春,http://cped.nccu.edu.tw/node/1139969
Gao Donglu,高東璐,http://cped.nccu.edu.tw/node/1151791
Gao Langting,高朗亭,http://cped.nccu.edu.tw/node/1142754
Gao Xiaoyu,高曉宇,http://cped.nccu.edu.tw/node/1143732
Gao Xiaoyong,高曉勇,http://cped.nccu.edu.tw/node/1169133
Gao　Xiao　Bing,高曉兵,http://cped.nccu.edu.tw/node/1154634
Gao Chunxiang,高春翔,http://cped.nccu.edu.tw/node/1139214
Gao Mingguang,高明光,http://cped.nccu.edu.tw/node/1140346
Gao Changli,高昌禮,http://cped.nccu.edu.tw/node/1138459
Gao Xinting,高新亭,http://cped.nccu.edu.tw/node/1139279
Gao Wenyuan,高文遠,http://cped.nccu.edu.tw/node/1140443
Gao　Wenbing　,高文兵,http://cped.nccu.edu.tw/node/1167701
Gao Yangwen,高揚文,http://cped.nccu.edu.tw/node/1142083
Gao Zhenjia,高振家,http://cped.nccu.edu.tw/node/1140495
Gao Huai Zhong,高懷忠,http://cped.nccu.edu.tw/node/1144636
Gao Jinghong,高憬宏,http://cped.nccu.edu.tw/node/1152581
Gao　Sihua　,高思華,http://cped.nccu.edu.tw/node/1167685
Gao Zhijie,高志潔,http://cped.nccu.edu.tw/node/1142856
Gao Gji Hao,高志浩,http://cped.nccu.edu.tw/node/1142426
Gao Zhijie,高志杰,http://cped.nccu.edu.tw/node/1160775
Gao Zhijie,高志傑,http://cped.nccu.edu.tw/node/1142173
Gao Dezheng,高德正,http://cped.nccu.edu.tw/node/1138860
Gao Dezhan,高德占,http://cped.nccu.edu.tw/node/1138507
Gao Qiang,高強,http://cped.nccu.edu.tw/node/1138604
Gao Jian she,高建設,http://cped.nccu.edu.tw/node/1144471
Gao Jianhua,高建華,http://cped.nccu.edu.tw/node/1170924
Gao Jianmin,高建民,http://cped.nccu.edu.tw/node/1142170
,高建國,http://cped.nccu.edu.tw/node/1147199
Guo Guangbing,高廣濱,http://cped.nccu.edu.tw/node/1143199
Gao Gang,高崗,http://cped.nccu.edu.tw/node/1142076
Gao Feng,高峰,http://cped.nccu.edu.tw/node/1141824
Gao Shangquan,高尚全,http://cped.nccu.edu.tw/node/1140780
Gao Shaoan,高少安,http://cped.nccu.edu.tw/node/1142171
Gao Xiaomei,高小玫,http://cped.nccu.edu.tw/node/1143878
Gao Yixin,高宜新,http://cped.nccu.edu.tw/node/1141226
Gao Hongji,高宏志,http://cped.nccu.edu.tw/node/1142320
Gao Hongbin,高宏彬,http://cped.nccu.edu.tw/node/1161447
Gao Hongfeng,高宏峰,http://cped.nccu.edu.tw/node/1140627
Gao Shouwei,高守維,http://cped.nccu.edu.tw/node/1141845
Gao Zi,高姿,http://cped.nccu.edu.tw/node/1140179
Gao Tianzheng,高天正,http://cped.nccu.edu.tw/node/1140498
Gao Guozhu,高國珠,http://cped.nccu.edu.tw/node/1139395
Gao Yan,高嚴,http://cped.nccu.edu.tw/node/1138490
Gao Xitong,高喜同,http://cped.nccu.edu.tw/node/1143977
Gao Junyu,高君宇,http://cped.nccu.edu.tw/node/1142079
Gao Ming xiang,高名湘,http://cped.nccu.edu.tw/node/1144450
Gao　Tong　Sheng,高同聲,http://cped.nccu.edu.tw/node/1155810
,高同慶,http://cped.nccu.edu.tw/node/1144949
Gao Houliang,高厚良,http://cped.nccu.edu.tw/node/1142077
Gao Hozu,高厚祖,http://cped.nccu.edu.tw/node/1142514
Gao Zhanxiang,高占祥,http://cped.nccu.edu.tw/node/1139798
Gao Jinsong　,高勁松,http://cped.nccu.edu.tw/node/1168589
Gao Quanli,高全立,http://cped.nccu.edu.tw/node/1140734
Gao Kelin,高克林,http://cped.nccu.edu.tw/node/1142080
Gao　Guanghui,高光輝,http://cped.nccu.edu.tw/node/1172968
Gao Yuan en,高元恩,http://cped.nccu.edu.tw/node/1144451
Gao Junliang,高俊良,http://cped.nccu.edu.tw/node/1140324
Gao Laifu,高來夫,http://cped.nccu.edu.tw/node/1144337
Gao Zhongxing,高中興,http://cped.nccu.edu.tw/node/1139211
Luo Lin,駱琳,http://cped.nccu.edu.tw/node/1139936
Luo Yulin,駱玉林,http://cped.nccu.edu.tw/node/1141008
Luo Huining,駱惠寧,http://cped.nccu.edu.tw/node/1140028
